$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_zeae..NCPPB3532Dz"        "GEN175" 
 "Dickeya_sp..NCPPB569Ds"           "GEN175" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN175" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN176" 
 "Dickeya_solani..PPO9019Ds"        "GEN176" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN177" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN177" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN178" 
 "Dickeya_dianthicola..RNS049Dd"    "GEN179" 
 "Dickeya_chrysanthem..NCPPB3533Dc" "GEN179" 
 "Dickeya_sp..CSLRW240Ds"           "GEN179" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN180" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN180" 
 "Dickeya_zeae..DZ2QDz"             "GEN180" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN182" 
 "Dickeya_zeae..DZ2QDz"             "GEN182" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN183" 
 "Dickeya_dadantii..3937Dd"         "GEN184" 
 "Dickeya_sp..S1Ds"                 "GEN185" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN186" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN187" 
 "Dickeya_solani..PPO9134Ds"        "GEN188" 
 "Dickeya_chrysanthem..M074Dc"      "GEN188" 
 "Dickeya_solani..RNS070773BDs"     "GEN193" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN193" 
 "Dickeya_sp..S1Ds"                 "GEN193" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN194" 
 "Dickeya_dadantii..3937Dd"         "GEN194" 
 "Dickeya_solani..RNS050512ADs"     "GEN194" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN195" 
 "Dickeya_dadantii..3937Dd"         "GEN196" 
 "Dickeya_solani..RNS070773BDs"     "GEN197" 
 "Dickeya_zeae..Ech586Dz"           "GEN197" 
 "Dickeya_solani..PPO9019Ds"        "GEN198" 
 "Dickeya_solani..M005Ds"           "GEN198" 
 "Dickeya_solani..PPO9019Ds"        "GEN199" 
 "Serratia_sp..ATCC39006Ss"         "GEN199" 
 "Dickeya_solani..RNS050512ADs"     "GEN200" 
 "Dickeya_zeae..MS1Dz"              "GEN200" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN200" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN200" 
 "Dickeya_zeae..Ech586Dz"           "GEN202" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN205" 
 "Dickeya_sp..S1Ds"                 "GEN205" 
