$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN139" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN140" 
 "Dickeya_sp..NCPPB569Ds"           "GEN140" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN143" 
 "Dickeya_solani..PPO9134Ds"        "GEN144" 
 "Dickeya_dadantii..3937Dd"         "GEN145" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN145" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN147" 
 "Cedecea_neteri..ND14bCn"          "GEN147" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN147" 
 "Dickeya_solani..MK10Ds"           "GEN149" 
 "Dickeya_solani..RNS08082331ADs"   "GEN149" 
 "Cedecea_neteri..ND14bCn"          "GEN150" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN150" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN150" 
 "Dickeya_solani..RNS070773BDs"     "GEN152" 
 "Dickeya_sp..CSLRW240Ds"           "GEN152" 
 "Dickeya_dadantii..3937Dd"         "GEN155" 
 "Dickeya_solani..M005Ds"           "GEN155" 
 "Dickeya_solani..RNS050512ADs"     "GEN158" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN158" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN158" 
 "Dickeya_solani..MK16Ds"           "GEN160" 
 "Dickeya_solani..IFB0099Ds"        "GEN160" 
 "Dickeya_chrysanthem..M074Dc"      "GEN161" 
 "Dickeya_sp..B16Ds"                "GEN162" 
 "Dickeya_zeae..MS1Dz"              "GEN164" 
 "Dickeya_solani..M005Ds"           "GEN165" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN166" 
 "Dickeya_zeae..MS1Dz"              "GEN166" 
 "Dickeya_aquatica..localstrainDa"  "GEN166" 
 "Dickeya_solani..RNS050512ADs"     "GEN168" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN169" 
 "Dickeya_solani..M005Ds"           "GEN169" 
 "Dickeya_zeae..DZ2QDz"             "GEN170" 
 "Dickeya_sp..NCPPB569Ds"           "GEN171" 
 "Dickeya_paradisiaca..Ech703Dp"    "GEN172" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN172" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN175" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN175" 
 "Dickeya_solani..PPO9019Ds"        "GEN176" 
 "Dickeya_sp..2B12Ds"               "GEN177" 
